G;;Estágio Supervisionado em Matemática - Ensino Médio;Q1;Noturno;SA;2
PG;ENS255M171;Tendências em Educação Matemática;Q1;Noturno;SA;4
G;DAMCTD010-13SA;História da Matemática;Q2;Diurno;SA;4
G;;Estágio Supervisionado em Matemática - Ensino Fundamental;Q2;;SA;2
G;;Estágio Supervisionado em Matemática - Ensino Médio;Q2;;SA;2
G;NAMCTB016-13SA;Geometria Diferencial I;Q1;Noturno;SA;4
G;DABCN0407-15SB;Funções de Várias Variáveis;Q2;Diurno;SB;4
G;NABCN0407-15SB;Funções de Várias Variáveis;Q2;Noturno;SB;4
G;NBBCN0407-15SB;Funções de Várias Variáveis;Q2;Noturno;SB;4
G;NAMCZB009-13SA;Geometria Não Euclidiana;Q3;Noturno;SA;4
G;DAMCZC013-15SB;Memória e Aprendizagem;Q1;Diurno;SB;3
G;DAMCTC021-15SB;Introdução à Neurociência Computacional;Q2;Diurno;SB;4
G;NAMCTC021-15SB;Introdução à Neurociência Computacional;Q2;Noturno;SB;4
G;NAMCTC024-15SB;Neuroetologia;Q3;Noturno;SB;4
G;DA9BCM0505-15SA;Processamento da Informação;Q1;Diurno;SA;2
G;DB1BCM0505-15SA;Processamento da Informação;Q1;Diurno;SA;3
G;DB2BCM0505-15SA;Processamento da Informação;Q1;Diurno;SA;1
G;DB3BCM0505-15SA;Processamento da Informação;Q1;Diurno;SA;1
G;DA2BCM0506-15SA;Comunicação e Redes;Q2;Diurno;SA;3
G;;Coordenador de Comunicação e Redes;Q2;;SA;2
PG;CCM-206D173;Inteligência na Web e Big Data;Q3;;SA;2
PG;CCM206M173;Inteligência na Web e Big Data;Q3;;SA;2
G;DA1MCTA028-15SA;Programação Estruturada;Q3;Diurno;SA;3
G;DA2MCTA028-15SA;Programação Estruturada;Q3;Diurno;SA;3
G;DAMCZB014-13SA;Introdução à Análise Funcional;Q1;Diurno;SA;4
G;NAMCZB014-13SA;Introdução à Análise Funcional;Q1;Noturno;SA;4
G;NAMCTB009-17SA;Cálculo Numérico;Q3;Noturno;SA;4
G;NBMCTB009-17SA;Cálculo Numérico;Q3;Noturno;SA;4
G;;Coordenador de Cálculo Numérico;Q3;Noturno;;1
G;DAMCTC019-15SB;Neurobiologia Molecular e Celular;Q1;Diurno;SB;4
G;NAMCTC019-15SB;Neurobiologia Molecular e Celular;Q1;Noturno;SB;2
PG;NCG001M171;Neurociência;Q1;Noturno;SB;3
PG;;Seminários em Neurociência e Cognição III;Q1;Noturno;SB;2
G;DAMCTC009-15SB;Progressos e Métodos em Neurociência;Q2;Diurno;SB;4
G;NAMCTC009-15SB;Progressos e Métodos em Neurociência;Q2;Noturno;SB;4
PG;NCG405M172;Seminários em Neurociência e Cognição IV;Q2;;SB;2
PG;NCG406D173;Seminários em Neurociência e Cognição V;Q3;;SB;2
G;NANHT1058-14SB;Morfofisiologia Humana I;Q3;Noturno;SB;6
G;DA2BCM0505-15SB;Processamento da Informação;Q1;Diurno;SB;2
G;NA3BCM0505-15SB;Processamento da Informação;Q1;Noturno;SB;2
G;NB1BCM0505-15SB;Processamento da Informação;Q1;Noturno;SB;2
EX;;Produção de Vídeos NTE;Q1;Noturno;SA;2
G;DABIS0005-15SA;Bases Computacionais da Ciência;Q3;Diurno;SA;2
G;NABIS0005-15SA;Bases Computacionais da Ciência;Q3;Noturno;SA;2
G;DAMCTA002-17SA;Algoritmos e Estruturas de Dados II;Q3;Diurno;SA;4
G;NA1MCTA002-17SA;Algoritmos e Estruturas de Dados II;Q3;Noturno;SA;2
PG;MAT297HM171;Tópicos em Matemática I - Uma Introdução à Teoria de Anéis e;Q1;Noturno;SA;4
PG;MAT214D173;Corpos Finitos;Q3;;SA;2
PG;MAT214M173;Corpos Finitos;Q3;;SA;2
G;DSBCM0505-15SA;Processamento da Informação - EAD;Q1;Diurno;EAD;4
G;NAMCTA010-15SA;Engenharia de Software;Q1;Noturno;SA;4
G;DSBCM0505-15SA;Processamento da Informação - EAD;Q2;Diurno;SA;4
G;NA7BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;2
G;NA1MCTA026-13SA;Sistemas Operacionais;Q1;Noturno;SA;1,5
G;NAMCTA026-13SA;Sistemas Operacionais;Q1;Noturno;SA;2,5
G;NAMCTA007-17SA;Compiladores;Q2;Noturno;SA;4
G;NA1MCTA025-13SA;Sistemas Distribuídos;Q2;Noturno;SA;3
G;NA2MCTA025-13SA;Sistemas Distribuídos;Q2;Noturno;SA;3
EX;;Modelagem de Dados e Aplicações;Q3;;SA;4,75
PG;CCM101M171;Computação Bioinspirada;Q1;Noturno;SA;4
G;NAMCTA006-13SA;Circuitos Digitais;Q1;Noturno;SA;4
G;DAMCZA030-13SA;Vida Artificial na Computação;Q1;Diurno;SA;2
G;NAMCZA030-13SA;Vida Artificial na Computação;Q1;Noturno;SA;2
G;DA1BCM0504-15SA;Natureza da Informação;Q3;Diurno;SA;3
G;NB2BCM0504-15SA;Natureza da Informação;Q3;Noturno;SA;3
G;DAMCTD013-13SA;Práticas de Ensino de Matemática III;Q1;Diurno;SA;3
PG;ENS190M172;Didática da Matemática;Q2;;SA;2
G;NAMCTD014-13SA;Práticas de Ensino de Matemática I;Q2;Noturno;SA;3
G;;Estágio Supervisionado em Matemática - Ensino Fundamental;Q2;;SA;2
G;DAMCTD010-13SA;História da Matemática;Q3;Diurno;SA;1,6
G;DAMCTB001-13SA;Álgebra Linear;Q1;Diurno;SA;6
G;DA1MCTB001-17SA;Álgebra Linear;Q2;Diurno;SA;6
G;DA2BCN0402-15SB;Funções de Uma Variável;Q3;Diurno;SB;4
G;NA1BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;3
G;NA2BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;1
G;NA3BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;1
G;NB4BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;1
G;NB5BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;1
G;NB6BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;1
G;NA1BCM0505-15SA;Processamento da Informação;Q2;Noturno;SA;2
G;NAMCTA003-17SA;Análise de Algoritmos;Q2;Noturno;SA;4
G;DSBCM0505-15SA;Processamento da Informação - EAD;Q3;Diurno;SA;4
G;NAMCTA017-17SA;Programação Matemática;Q3;Noturno;SA;4
G;NA1BCM0506-15SA;Comunicação e Redes;Q2;Noturno;SA;3
G;NB2BCM0506-15SA;Comunicação e Redes;Q2;Noturno;SA;3
G;DA9BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2
G;NAMCTA027-17SA;Teoria dos Grafos;Q3;Noturno;SA;4
G;DABCM0504-15SB;Natureza da Informação;Q1;Diurno;SB;3
G;NABCM0504-15SB;Natureza da Informação;Q1;Noturno;SB;3
G;NA2BCM0505-15SB;Processamento da Informação;Q1;Noturno;SB;2
G;DAMCTA004-17SA;Arquitetura de Computadores;Q3;Diurno;SA;4
G;NAMCTA004-17SA;Arquitetura de Computadores;Q3;Noturno;SA;4
G;DA1MCTA022-13SA;Redes de Computadores;Q1;Diurno;SA;4
G;DAMCTA026-13SA;Sistemas Operacionais;Q1;Diurno;SA;4
G;;Coordenador de Redes de Computadores;Q1;Noturno;SA;1
PG;INF107D171;Redes Ópticas;Q1;;SA;2
PG;INF102M172;Tecnologias de Redes de Computadores;Q2;;SA;4
G;DAMCTA025-13SA;Sistemas Distribuídos;Q2;Diurno;SA;4
G;;Coordenador de Bases Computacionais da Ciência;Q1;Noturno;SA;2
G;DA4BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2
G;DB4BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2
G;NA7BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2
G;NB7BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2
G;;Coordenador de Bases Computacionais da Ciência;Q2;;SA;3
G;NA1MCTA008-17SA;Computação Gráfica;Q3;Noturno;SA;4
G;NA1BCN0402-15SA;Funções de Uma Variável;Q1;Noturno;SA;4
G;DA1BIN0406-15SA;Introdução à Probabilidade e à Estatística;Q2;Diurno;SA;3
G;DB1BIN0406-15SA;Introdução à Probabilidade e à Estatística;Q2;Diurno;SA;3
G;NA2BCN0402-15SB;Funções de Uma Variável;Q3;Noturno;SB;4
G;NB2BCN0402-15SB;Funções de Uma Variável;Q3;Noturno;SB;4
PG;MAT121M171;Análise no Rn;Q1;;SA;6
G;DA4BCN0407-15SA;Funções de Várias Variáveis;Q1;Diurno;SA;4
